IP,Date,Protocol,Version,Error_Code,,
127.0.0.1,[15/Oct/2011:11:49:110400],GETHTTP/1.1,200,44,,
127.0.0.1,[15/Oct/2011:11:49:110400],GET,favicon.icoHTTP/1.1,404,,
129.10.135.165,[15/Oct/2011:11:59:100400],GETHTTP/1.1,200,6,,
129.10.135.165,[15/Oct/2011:11:59:100400],GET,favicon.icoHTTP/1.1,404,,
129.10.65.240,[15/Oct/2011:12:05:580400],GETHTTP/1.1,200,6,,
129.10.65.240,[15/Oct/2011:12:05:580400],GET,favicon.icoHTTP/1.1,404,,
129.10.65.240,[15/Oct/2011:12:07:250400],GET,favicon.icoHTTP/1.1,404,,
146.115.62.108,[15/Oct/2011:12:57:440400],GETHTTP/1.1,200,6,,
146.115.62.108,[15/Oct/2011:12:57:450400],GET,favicon.icoHTTP/1.1,404,,
146.115.62.108,[15/Oct/2011:12:57:450400],GET,favicon.icoHTTP/1.1,404,,
129.10.135.165,[15/Oct/2011:13:02:340400],GETHTTP/1.1,200,6,,
129.10.135.165,[15/Oct/2011:13:02:340400],GET,favicon.icoHTTP/1.1,404,,
64.134.67.129,[15/Oct/2011:15:53:080400],GETHTTP/1.1,200,6,,
64.134.67.129,[15/Oct/2011:15:53:080400],GET,favicon.icoHTTP/1.1,404,,
182.72.44.10,[15/Oct/2011:16:27:390400],GET,w00tw00t.at.ISC.SANS.DFind:)HTTP/1.1,400,,
88.146.161.252,[16/Oct/2011:16:48:520400],GET,scripts/setup.phpHTTP/1.1,404,,
88.146.161.252,[16/Oct/2011:16:48:520400],POST,scripts/setup.phpHTTP/1.1,404,,
88.146.161.252,[16/Oct/2011:16:48:540400],GET,phpmyadmin/scripts/setup.phpHTTP/1.1,404,,
88.146.161.252,[16/Oct/2011:16:48:540400],GET,phpMyAdmin/scripts/setup.phpHTTP/1.1,404,,
88.146.161.252,[16/Oct/2011:16:48:540400],GET,mysql/scripts/setup.phpHTTP/1.1,404,,
88.146.161.252,[16/Oct/2011:16:48:540400],GET,pma/scripts/setup.phpHTTP/1.1,404,,
88.146.161.252,[16/Oct/2011:16:48:540400],POST,phpmyadmin/scripts/setup.phpHTTP/1.1,404,,
